airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Spicejet,2019-05-15,Kolkata,Banglore,15:55:00,21:25:00,330,1.0,No Info,7804
Jet Airways,2019-05-18,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No Info,15129
Indigo,2019-06-06,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No Info,10112
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,08:15:00,1090,1.0,In-flight meal not included,8586
Jet Airways,2019-04-06,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,4544
Multiple Carriers,2019-06-24,Delhi,Cochin,12:50:00,19:15:00,385,1.0,In-flight meal not included,7268
Jet Airways,2019-06-15,Delhi,Cochin,07:05:00,12:35:00,330,1.0,No Info,14714
Jet Airways,2019-03-06,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,No Info,9536
Indigo,2019-04-09,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,6573
Jet Airways,2019-06-09,Delhi,Cochin,11:40:00,19:00:00,440,2.0,In-flight meal not included,15812
Multiple Carriers,2019-06-24,Delhi,Cochin,03:50:00,19:00:00,910,1.0,No Info,12192
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,No Info,13626
Indigo,2019-03-06,Delhi,Cochin,06:40:00,22:20:00,940,1.0,No Info,6442
Indigo,2019-05-21,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Air India,2019-03-21,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,2575
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,09:30:00,875,1.0,In-flight meal not included,11087
Jet Airways,2019-05-21,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4030
Multiple Carriers,2019-06-09,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No Info,11622
Vistara,2019-05-21,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,4668
Indigo,2019-05-12,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2227
Multiple Carriers,2019-06-24,Delhi,Cochin,03:50:00,12:35:00,525,1.0,No Info,12192
Air India,2019-03-18,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,5674
Multiple Carriers,2019-03-21,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,10161
Spicejet,2019-05-21,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Multiple Carriers,2019-05-09,Delhi,Cochin,06:00:00,19:00:00,780,1.0,No Info,9794
Indigo,2019-03-21,Delhi,Cochin,20:30:00,01:35:00,305,1.0,No Info,6232
Multiple Carriers,2019-06-27,Delhi,Cochin,11:40:00,19:15:00,455,1.0,In-flight meal not included,7268
Air India,2019-05-09,Delhi,Cochin,13:20:00,07:40:00,1100,2.0,No Info,13538
Multiple Carriers,2019-03-06,Delhi,Cochin,09:55:00,19:15:00,560,1.0,In-flight meal not included,15342
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,In-flight meal not included,10844
Goair,2019-06-15,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,4959
Indigo,2019-05-21,Delhi,Cochin,08:35:00,18:10:00,575,1.0,No Info,6442
Multiple Carriers,2019-06-15,Delhi,Cochin,06:00:00,19:15:00,795,1.0,No Info,9526
Air Asia,2019-04-18,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Indigo,2019-06-24,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Jet Airways,2019-03-21,Banglore,New Delhi,14:05:00,21:20:00,435,1.0,In-flight meal not included,7832
Indigo,2019-06-09,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,6838
Jet Airways,2019-03-21,Delhi,Cochin,10:20:00,18:50:00,1950,2.0,In-flight meal not included,9254
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,19:10:00,305,1.0,No Info,19225
Indigo,2019-03-21,Delhi,Cochin,04:45:00,13:20:00,515,1.0,No Info,7738
Jet Airways,2019-06-24,Delhi,Cochin,17:30:00,04:25:00,655,1.0,In-flight meal not included,10262
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,No Info,14781
Indigo,2019-04-06,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,4174
Jet Airways,2019-03-09,Delhi,Cochin,17:25:00,04:25:00,660,1.0,No Info,15554
Multiple Carriers,2019-05-27,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No Info,9627
Indigo,2019-04-12,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4174
Multiple Carriers,2019-05-18,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No Info,9646
Multiple Carriers,2019-06-06,Delhi,Cochin,10:20:00,01:30:00,910,1.0,No Info,6795
Indigo,2019-06-15,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No Info,6195
Indigo,2019-03-06,Kolkata,Banglore,15:20:00,17:55:00,155,0.0,No Info,5618
Spicejet,2019-05-01,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No Info,2017
Multiple Carriers,2019-06-15,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,7933
Multiple Carriers,2019-05-21,Delhi,Cochin,04:55:00,12:35:00,460,1.0,No Info,9103
Jet Airways,2019-06-03,Delhi,Cochin,21:25:00,12:35:00,910,2.0,No Info,13292
Air India,2019-05-24,Kolkata,Banglore,09:50:00,08:55:00,1385,2.0,No Info,15170
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,14781
Indigo,2019-06-09,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,4049
Jet Airways,2019-06-27,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,10262
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,10:45:00,950,1.0,In-flight meal not included,11087
Air India,2019-06-06,Delhi,Cochin,16:55:00,19:15:00,1580,2.0,No Info,13591
Air India,2019-03-06,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,12646
Jet Airways,2019-06-24,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,In-flight meal not included,10262
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,10:55:00,1075,1.0,No Info,12121
Air India,2019-05-21,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,8372
Air Asia,2019-06-09,Delhi,Cochin,20:45:00,07:10:00,625,1.0,No Info,10794
Spicejet,2019-03-06,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No Info,8488
Multiple Carriers,2019-03-03,Delhi,Cochin,19:00:00,01:35:00,395,1.0,No Info,15288
Jet Airways,2019-06-24,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,5769
Vistara,2019-03-21,Banglore,New Delhi,07:00:00,09:40:00,160,0.0,No Info,5403
Jet Airways,2019-04-06,Delhi,Cochin,07:05:00,12:35:00,330,1.0,In-flight meal not included,5406
Multiple Carriers,2019-06-09,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,7408
Jet Airways,2019-05-21,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,No Info,16079
Air India,2019-03-03,Banglore,New Delhi,11:05:00,22:10:00,2105,2.0,No Info,11948
Jet Airways,2019-06-18,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,8016
Air India,2019-05-21,Kolkata,Banglore,16:50:00,13:45:00,1255,2.0,No Info,13484
Multiple Carriers,2019-03-06,Delhi,Cochin,09:45:00,22:20:00,755,1.0,No Info,10276
Jet Airways,2019-04-01,Delhi,Cochin,22:50:00,12:35:00,825,1.0,In-flight meal not included,5177
Goair,2019-04-27,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,3898
Indigo,2019-05-15,Kolkata,Banglore,18:05:00,23:30:00,325,1.0,No Info,6218
Indigo,2019-06-12,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No Info,10112
Air India,2019-03-15,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,4939
Jet Airways,2019-05-01,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,7229
Indigo,2019-04-09,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Multiple Carriers,2019-06-12,Delhi,Cochin,07:10:00,22:30:00,920,1.0,No Info,6513
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,In-flight meal not included,8586
Vistara,2019-06-21,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Indigo,2019-04-12,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,4423
Multiple Carriers,2019-03-03,Delhi,Cochin,17:00:00,01:35:00,515,1.0,No Info,17073
Indigo,2019-06-24,Delhi,Cochin,11:25:00,01:30:00,845,1.0,No Info,5684
Jet Airways,2019-05-01,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,3210
Air India,2019-05-06,Kolkata,Banglore,10:00:00,10:00:00,1440,2.0,No Info,14298
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,No Info,13067
Spicejet,2019-03-21,Delhi,Cochin,06:10:00,11:20:00,310,1.0,No Info,6065
Jet Airways,2019-06-01,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,7229
Multiple Carriers,2019-05-27,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,10486
Indigo,2019-03-24,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Jet Airways,2019-05-18,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,12373
Jet Airways,2019-03-18,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,8040
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,18:15:00,1545,1.0,In-flight meal not included,8529
Indigo,2019-03-09,Delhi,Cochin,11:55:00,21:20:00,565,2.0,No Info,8378
Spicejet,2019-05-15,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3625
Air Asia,2019-03-24,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,5620
Indigo,2019-06-09,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,5224
Air India,2019-05-24,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,5510
Indigo,2019-04-03,Delhi,Cochin,10:35:00,15:35:00,300,1.0,No Info,5073
Spicejet,2019-03-03,Delhi,Cochin,06:10:00,11:20:00,310,1.0,No Info,9748
Indigo,2019-06-24,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,4049
Multiple Carriers,2019-05-09,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No Info,6513
Air India,2019-03-03,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,15197
Jet Airways,2019-06-06,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,10262
Air India,2019-03-15,Banglore,New Delhi,05:50:00,22:10:00,980,2.0,No Info,9796
Air India,2019-05-24,Kolkata,Banglore,09:10:00,04:40:00,1170,2.0,No Info,6117
Jet Airways,2019-06-27,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,In-flight meal not included,10262
Spicejet,2019-05-09,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Indigo,2019-06-01,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No Info,6628
Indigo,2019-06-15,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Indigo,2019-05-09,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,7191
Multiple Carriers,2019-05-21,Delhi,Cochin,07:00:00,19:00:00,720,1.0,No Info,10197
Air Asia,2019-05-21,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,3383
Air India,2019-06-06,Kolkata,Banglore,08:20:00,21:50:00,810,2.0,No Info,10697
Spicejet,2019-05-21,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3625
Indigo,2019-06-27,Kolkata,Banglore,09:35:00,12:10:00,155,0.0,No Info,4804
Air India,2019-05-18,Kolkata,Banglore,05:50:00,20:25:00,875,2.0,No Info,12093
Jet Airways,2019-06-27,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,16079
Air India,2019-03-01,Banglore,New Delhi,06:45:00,09:25:00,1600,2.0,2 Long layover,26480
Jet Airways,2019-06-03,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,10262
Indigo,2019-06-09,Delhi,Cochin,07:35:00,22:30:00,895,1.0,No Info,6442
Multiple Carriers,2019-06-27,Delhi,Cochin,10:20:00,19:15:00,535,1.0,No Info,7741
Indigo,2019-06-27,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No Info,5775
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,14781
Air India,2019-05-18,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,6934
Goair,2019-03-27,Delhi,Cochin,07:00:00,12:50:00,350,1.0,No Info,5281
Air India,2019-05-24,Kolkata,Banglore,16:50:00,07:55:00,905,1.0,No Info,8576
Jet Airways,2019-04-09,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,7229
Multiple Carriers,2019-03-06,Delhi,Cochin,13:05:00,21:20:00,495,2.0,No Info,10759
Jet Airways,2019-06-24,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,6478
Air India,2019-06-01,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,12970
Indigo,2019-03-27,Delhi,Cochin,10:45:00,21:00:00,615,1.0,No Info,6838
Air India,2019-03-21,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,8236
Air India,2019-05-09,Kolkata,Banglore,07:00:00,01:20:00,1100,2.0,No Info,13033
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,00:45:00,640,1.0,No Info,14815
Air India,2019-05-01,Kolkata,Banglore,17:30:00,13:45:00,1215,2.0,No Info,15164
Jet Airways,2019-06-24,Delhi,Cochin,19:45:00,12:35:00,1010,1.0,In-flight meal not included,10262
Spicejet,2019-06-06,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,3873
Jet Airways,2019-05-01,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,4995
Air India,2019-06-06,Kolkata,Banglore,09:50:00,21:05:00,675,1.0,No Info,7452
Jet Airways,2019-05-09,Kolkata,Banglore,20:25:00,21:05:00,1480,1.0,No Info,13067
Spicejet,2019-06-18,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Air Asia,2019-05-03,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,5989
Vistara,2019-04-01,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,4851
Air India,2019-06-09,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,3100
Multiple Carriers,2019-04-09,Delhi,Cochin,17:45:00,01:30:00,465,1.0,No Info,8535
Spicejet,2019-06-27,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No Info,4957
Multiple Carriers,2019-03-21,Delhi,Cochin,09:10:00,19:15:00,605,1.0,No Info,8601
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,19:50:00,845,1.0,In-flight meal not included,10844
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No Info,12681
Jet Airways,2019-05-21,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No Info,15129
Jet Airways,2019-03-12,Banglore,New Delhi,05:45:00,23:00:00,1035,1.0,No Info,13817
Indigo,2019-03-09,Delhi,Cochin,11:55:00,22:20:00,625,1.0,No Info,6674
Indigo,2019-06-06,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,4804
Air India,2019-05-21,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,7480
Multiple Carriers,2019-05-21,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,14067
Spicejet,2019-05-27,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Jet Airways,2019-03-06,Delhi,Cochin,09:55:00,04:25:00,1110,1.0,No Info,15764
Air India,2019-03-27,Delhi,Cochin,13:30:00,08:15:00,1125,1.0,No Info,6681
Multiple Carriers,2019-05-27,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No Info,8475
Air India,2019-03-03,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,10810
Jet Airways,2019-06-27,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,8016
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,16:20:00,1150,1.0,In-flight meal not included,10844
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,In-flight meal not included,7064
Air India,2019-03-15,Banglore,New Delhi,11:50:00,13:00:00,1510,1.0,No Info,8032
Air Asia,2019-06-03,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,7120
Air India,2019-04-12,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,5911
Indigo,2019-05-09,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Air India,2019-03-09,Banglore,New Delhi,17:00:00,19:50:00,170,0.0,No Info,9481
Jet Airways,2019-04-15,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,7229
Spicejet,2019-03-24,Banglore,New Delhi,05:45:00,08:35:00,170,0.0,No Info,3579
Indigo,2019-06-09,Delhi,Cochin,05:10:00,10:05:00,295,1.0,No Info,6496
Indigo,2019-06-15,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3597
Air India,2019-06-27,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,12199
Indigo,2019-06-06,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,3943
Multiple Carriers,2019-06-15,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,7408
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,16:10:00,625,1.0,No Info,26890
Air India,2019-05-21,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Multiple Carriers,2019-03-21,Delhi,Cochin,19:00:00,01:35:00,395,1.0,No Info,6838
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,11733
Jet Airways,2019-05-18,Delhi,Cochin,11:30:00,12:35:00,1505,1.0,In-flight meal not included,12373
Air India,2019-06-03,Delhi,Cochin,18:30:00,19:15:00,1485,2.0,No Info,12488
Indigo,2019-06-12,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,6093
Vistara,2019-05-18,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,4878
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,In-flight meal not included,13994
Air India,2019-05-21,Delhi,Cochin,13:20:00,19:15:00,1795,2.0,No Info,13276
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,10:55:00,1520,1.0,In-flight meal not included,10539
Jet Airways,2019-04-06,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,7229
Spicejet,2019-06-03,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,3919
Indigo,2019-05-27,Delhi,Cochin,17:05:00,22:15:00,310,1.0,No Info,6373
Vistara,2019-05-12,Kolkata,Banglore,20:20:00,09:05:00,765,1.0,No Info,9397
Air India,2019-03-27,Delhi,Cochin,09:45:00,08:15:00,1350,1.0,No Info,7416
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,08:15:00,1090,1.0,In-flight meal not included,13502
Jet Airways,2019-06-15,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,In-flight meal not included,10262
Indigo,2019-03-03,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,No Info,4784
Indigo,2019-03-06,Delhi,Cochin,04:45:00,13:20:00,515,1.0,No Info,13611
Indigo,2019-06-12,Delhi,Cochin,21:05:00,00:20:00,195,0.0,No Info,6015
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,16:20:00,1430,1.0,No Info,13941
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,8586
Vistara,2019-03-24,Banglore,New Delhi,11:30:00,14:10:00,160,0.0,No Info,5403
Goair,2019-05-18,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,4632
Vistara,2019-03-03,Banglore,New Delhi,21:10:00,00:05:00,175,0.0,No Info,7608
Jet Airways,2019-05-06,Delhi,Cochin,22:50:00,12:35:00,825,1.0,No Info,15554
Jet Airways,2019-05-18,Delhi,Cochin,14:00:00,19:00:00,300,1.0,No Info,15554
Jet Airways,2019-03-21,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,In-flight meal not included,4160
Spicejet,2019-06-21,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No Info,2017
